State,District,Market,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Supply Volume (MT),Demand Volume (MT),Market Insights,Sowing Area (Hectares),Production Estimate (MT),Stock Level (MT),Stock Released (MT),Inflation Rate (%),Input Type,Input Cost (INR),Seasonality Impact,Intervention Type,Impact on Price (INR/kg),ARIMA_p,ARIMA_d,ARIMA_q,Forecasted Price (INR/kg)
Andhra Pradesh,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,3200,3400,3200,516,381,Government intervention expected,3861,1000,4840,1899,4.629172813,Labor,815,Low,Stock Release,-9.120079399,1,1,2,3202.989807
Andhra Pradesh,Chittor,Chittoor,Mango,Neelam,Medium,700,1500,1200,701,443,Government intervention expected,3870,2578,4987,1892,3.525140324,Seed,719,Medium,Stock Release,0.4540340848,1,1,1,1195.096466
Andhra Pradesh,Chittor,Chittoor,Mango,Totapuri,Medium,1400,1800,1600,541,687,Government intervention expected,1941,1310,5461,1988,5.15174749,Fertilizer,223,Low,Stock Release,1.509048735,3,0,1,1601.748135
Andhra Pradesh,Cuddapah,Cuddapah,Groundnut,Local,FAQ,4059,7589,7559,438,439,Stable demand,4914,3215,4838,1032,6.929067346,Seed,849,Medium,Price Cap,-2.349583198,3,1,2,7563.85154
Andhra Pradesh,Cuddapah,Cuddapah,Turmeric,Bulb,FAQ,4778,6160,5845,792,328,Low supply affecting prices,3491,3239,7117,1485,5.252175567,Fertilizer,229,Medium,Stock Release,-3.564874994,2,1,1,5843.991532
Andhra Pradesh,Cuddapah,Cuddapah,Turmeric,Finger,FAQ,3012,6619,6175,754,690,Government intervention expected,3400,4105,6715,1660,4.309939651,Labor,845,Medium,No Intervention,7.038857204,2,1,1,6174.850574
Andhra Pradesh,East Godavari,Peddapuram,Paddy(Dhan)(Common),1001,FAQ,2040,2050,2045,651,569,High demand due to festival,1995,4105,7472,1333,3.138015888,Seed,615,Low,Stock Release,-9.539668173,3,0,2,2046.279751
Andhra Pradesh,East Godavari,Pithapuram,Paddy(Dhan)(Common),1001,FAQ,2040,2060,2050,732,546,Government intervention expected,1793,4759,7559,862,4.565119015,Fertilizer,579,Medium,Price Cap,2.507096966,3,1,2,2047.855839
Andhra Pradesh,East Godavari,Prattipadu,Paddy(Dhan)(Common),1001,FAQ,2040,2060,2050,606,311,Stable demand,3458,4488,7067,1739,6.566905556,Fertilizer,831,Medium,Price Cap,-2.115061721,1,0,2,2052.185171
Andhra Pradesh,East Godavari,Sampara,Paddy(Dhan)(Common),Swarna Masuri (New),FAQ,2150,2200,2180,609,654,Government intervention expected,1677,1707,6479,1891,3.738068781,Fertilizer,873,Low,Price Cap,3.319013623,3,0,1,2177.02997
Andhra Pradesh,Guntur,Duggirala,Turmeric,Bulb,FAQ,5600,6300,6000,514,688,High demand due to festival,2813,2181,5451,616,4.704396902,Seed,641,High,Stock Release,-6.041649084,1,0,2,5995.64792
Andhra Pradesh,Guntur,Duggirala,Turmeric,Finger,FAQ,5725,6300,6000,624,636,Stable demand,2561,2780,4747,1702,3.101157309,Labor,928,Medium,Price Cap,-5.226812907,2,1,1,6003.013288
Andhra Pradesh,Guntur,Tenali,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8100,8300,8200,533,405,Government intervention expected,1452,2523,6875,1769,6.608775016,Fertilizer,176,Medium,Price Cap,1.737076134,3,0,2,8196.765186
Andhra Pradesh,Guntur,Tenali,Lemon,Lemon,FAQ,1000,2500,1500,650,331,High demand due to festival,3466,3413,7643,627,7.403415235,Seed,282,High,Price Cap,9.598770926,2,1,2,1502.314936
Andhra Pradesh,Kurnool,Alur,Jowar(Sorghum),Jowar ( White),FAQ,3020,3080,3050,618,373,Stable demand,3497,2363,6564,1881,5.842641588,Fertilizer,465,Low,Stock Release,9.49367166,3,1,1,3053.713077
Andhra Pradesh,Kurnool,Kurnool,Groundnut,Local,FAQ,6089,7921,7509,490,470,Government intervention expected,4042,1857,6509,577,3.129360529,Seed,391,Low,Price Cap,-5.020380324,3,1,2,7504.457747
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3850,3950,3900,753,636,High demand due to festival,4656,4406,4965,1240,4.088126563,Labor,813,Low,Price Cap,-7.952979393,1,1,1,3902.066958
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Bottle gourd,Other,FAQ,1000,3000,2000,775,368,Stable demand,2138,4654,5926,1816,5.192345676,Fertilizer,488,Medium,No Intervention,1.806864759,3,0,2,2001.462356
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cauliflower,Other,FAQ,1000,4500,4000,445,600,Government intervention expected,1050,3374,6038,1273,5.937906103,Seed,256,High,No Intervention,-1.600347839,2,0,1,4001.238795
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,FAQ,1500,2500,2000,437,661,Stable demand,2392,3161,6228,581,5.481381712,Fertilizer,199,Low,No Intervention,5.233734259,3,1,1,1997.953583
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Green Chilli,Other,FAQ,1500,3000,2500,541,436,High demand due to festival,4985,3844,4144,841,7.579330232,Seed,733,High,Price Cap,0.5596745056,2,1,2,2495.456296
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Lemon,Other,FAQ,2000,3000,2600,499,399,Government intervention expected,4754,1918,5850,1861,7.693181582,Labor,926,Low,No Intervention,0.2117361199,3,0,1,2595.984861
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Mango,Other,Medium,1000,3500,3000,727,445,Government intervention expected,4851,4489,7336,1318,3.535762313,Labor,209,Medium,Stock Release,2.929197364,2,0,2,2997.729146
